EmployeeID,EffectiveDate,Salary,Bonus
E0001,2025-01-01,6964,2757
E0001,2026-01-01,7119,837
E0002,2025-01-01,7436,2962
E0002,2026-01-01,7694,4729
E0003,2025-01-01,7798,2187
E0003,2026-01-01,7951,5749
E0004,2025-01-01,7979,1728
E0004,2026-01-01,8095,4646
E0005,2025-01-01,6283,2965
E0005,2026-01-01,6485,1796
E0006,2025-01-01,6425,938
E0006,2026-01-01,6527,5584
E0007,2025-01-01,5977,4988
E0007,2026-01-01,6206,1629
E0008,2025-01-01,6087,1973
E0008,2026-01-01,6201,4647
E0009,2025-01-01,6219,1647
E0009,2026-01-01,6457,5840
E0010,2025-01-01,6291,58
E0010,2026-01-01,6447,581
E0011,2025-01-01,6470,3874
E0011,2026-01-01,6770,6615
E0012,2025-01-01,7530,1569
E0012,2026-01-01,7693,1558
E0013,2025-01-01,6150,3978
E0013,2026-01-01,6354,3943
E0014,2025-01-01,7949,2430
E0014,2026-01-01,8097,1783
E0015,2025-01-01,6973,982
E0015,2026-01-01,7176,4666
E0016,2025-01-01,7053,2590
E0016,2026-01-01,7270,6159
E0017,2025-01-01,6496,3589
E0017,2026-01-01,6636,6830
E0018,2025-01-01,7395,4954
E0018,2026-01-01,7567,1725
E0019,2025-01-01,7762,1071
E0019,2026-01-01,8059,5219
E0020,2025-01-01,6222,342
E0020,2026-01-01,6354,2525
E0021,2025-01-01,7691,1469
E0021,2026-01-01,7797,6033
E0022,2025-01-01,7623,2500
E0022,2026-01-01,7812,6721
E0023,2025-01-01,8051,2139
E0023,2026-01-01,8180,1462
E0024,2025-01-01,6882,13
E0024,2026-01-01,7093,4259
E0025,2025-01-01,6140,2422
E0025,2026-01-01,6343,4541
E0026,2025-01-01,7250,4751
E0026,2026-01-01,7460,4969
E0027,2025-01-01,8008,1631
E0027,2026-01-01,8165,1207
E0028,2025-01-01,7738,45
E0028,2026-01-01,8014,6151
E0029,2025-01-01,7106,4578
E0029,2026-01-01,7341,4877
E0030,2025-01-01,6943,4270
E0030,2026-01-01,7113,3969
E0031,2025-01-01,7874,526
E0031,2026-01-01,8028,3398
E0032,2025-01-01,7761,3194
E0032,2026-01-01,8053,6991
E0033,2025-01-01,6430,1045
E0033,2026-01-01,6649,5097
E0034,2025-01-01,6923,3724
E0034,2026-01-01,7077,2677
E0035,2025-01-01,6897,329
E0035,2026-01-01,7163,6178
E0036,2025-01-01,7377,1374
E0036,2026-01-01,7571,4963
E0037,2025-01-01,5974,2470
E0037,2026-01-01,6252,6965
E0038,2025-01-01,7427,3551
E0038,2026-01-01,7554,2967
E0039,2025-01-01,7299,3806
E0039,2026-01-01,7461,4668
E0040,2025-01-01,6486,701
E0040,2026-01-01,6634,1977
E0041,2025-01-01,6876,4349
E0041,2026-01-01,7117,2816
E0042,2025-01-01,6277,4829
E0042,2026-01-01,6447,6227
E0043,2025-01-01,6304,4021
E0043,2026-01-01,6567,840
E0044,2025-01-01,6579,4610
E0044,2026-01-01,6717,2489
E0045,2025-01-01,6417,493
E0045,2026-01-01,6662,4994
E0046,2025-01-01,7222,1896
E0046,2026-01-01,7330,2360
E0047,2025-01-01,7705,1359
E0047,2026-01-01,7820,6493
E0048,2025-01-01,7400,2640
E0048,2026-01-01,7610,4945
E0049,2025-01-01,7915,3622
E0049,2026-01-01,8147,2278
E0050,2025-01-01,6767,3280
E0050,2026-01-01,7036,6664
E0051,2025-01-01,6835,4083
E0051,2026-01-01,7027,5123
E0052,2025-01-01,7389,112
E0052,2026-01-01,7630,4524
E0053,2025-01-01,7303,3868
E0053,2026-01-01,7526,1996
E0054,2025-01-01,6229,4750
E0054,2026-01-01,6479,5406
E0055,2025-01-01,6951,3874
E0055,2026-01-01,7132,5777
E0056,2025-01-01,8050,4308
E0056,2026-01-01,8175,3743
E0057,2025-01-01,7540,3997
E0057,2026-01-01,7800,4432
E0058,2025-01-01,7618,2657
E0058,2026-01-01,7729,6522
E0059,2025-01-01,7322,1972
